display_id,uuid,document_id,timestamp,platform,geo_location
1,cb8c55702adb93,379743,61,3,US>SC>519
2,79a85fa78311b9,1794259,81,2,US>CA>807
3,822932ce3d8757,1179111,182,2,US>MI>505
4,85281d0a49f7ac,1777797,234,2,US>WV>564
5,8d0daef4bf5b56,252458,338,2,SG>00
6,7765b4faae4ad4,1773517,395,3,US>OH>510
7,2cc3f6457d16da,1149661,602,2,US>MT>762
8,166fc654d73c98,1330329,638,2,US>PA>566
9,9dddccf70f6067,1772126,667,1,US>FL>528
10,b09a0e92aa4d17,157455,693,1,US
11,602e210c5831e5,1773230,710,3,US>IL>675
12,6fa993bd0e0157,892701,718,1,US>TX>612
13,7355615832b3af,1778533,739,1,US>AZ>753
14,daef797fc210a2,1759953,798,3,US>NC>560
15,24c64dc30891c0,1777136,1000,2,GB
16,30c0ad12b36375,1727882,1033,1,US>FL>561
17,c80c06d718ba65,1667725,1044,2,US>MI>540
18,eb58e66b4f6bb0,429183,1175,2,US>OR>820
19,c419799a427c72,1155107,1202,3,US>HI>744
20,650e3b5699738b,1642724,1282,2,US>MI>505
21,95866cc26c177b,1771519,1394,2,US>NC>560
22,a32f03f4fdcf17,1748533,1716,2,US>NY>501
23,c8cefb08bef5f2,1715559,1845,2,AU>05
24,7f330bf68a4b41,1789836,1890,2,US>CA
25,983eb92a5ae4df,807380,1961,2,IN>16
26,5e8bf82689d3a9,1755529,2094,2,US>MI
27,75df5a72fe6aae,1760776,2365,2,US>CA>825
28,679607f26bf5c5,778157,2421,2,US>NY>501
29,bd28314430fb9b,9659,2433,2,US>IL>602
30,53ca43b326638b,1773952,2550,2,US>NJ>501
31,6a875b33107c5c,1766961,2557,1,US>KY>529
32,12bcbcb95b99f7,1780579,2597,1,PR>00
33,783518e1a76b81,1791206,2603,3,IN>16
34,50f4b6d1ca43da,455604,2620,3,CA>NB
35,c545fced2cf678,1271578,2633,3,US>NC>560
36,7f3a450140a91b,1772095,2670,1,US>WA>819
37,d4f62cdcb39ad8,1779285,2687,2,US>WA>819
38,30124a3e3e550a,1280769,2756,3,US>MD>512
39,2ae78422aa127d,822059,2781,2,US>CA>866
40,f8198611130910,1761443,2844,1,US>MD>512
41,b0198912a93491,1480424,2892,1,US>WV>511
42,85732c7ada653c,1764783,3031,2,US
43,9379d02dad352a,1149225,3031,1,US>NC>560
44,7804739ae4f351,1747897,3157,2,US>CA>825
