ad_id,document_id,campaign_id,advertiser_id
1,6614,1,7
2,471467,2,7
3,7692,3,7
4,471471,2,7
5,471472,2,7
6,12736,1,7
7,12808,1,7
8,471477,2,7
9,13379,1,7
10,13885,1,7
11,14230,1,7
12,446701,10,19
13,471499,10,19
14,471500,10,19
15,471501,10,19
16,471514,17,19
17,471517,10,19
18,471518,10,19
19,471519,5,19
20,446660,21,19
21,20896,16,19
22,21203,10,19
23,21112,10,19
24,20100,10,19
25,25921,1,7
26,471529,17,19
27,471530,17,19
28,471534,10,19
29,471536,12,19
30,471539,10,19
31,471542,10,19
32,23989,23,19
33,26447,24,19
34,29075,24,19
35,29658,24,19
36,29658,24,19
37,20967,5,19
38,20895,5,19
39,471548,5,19
40,33479,24,19
41,471552,25,19
42,471553,25,19
43,471554,25,19
44,29833,26,39
45,29834,26,39
46,29836,26,39
47,29835,26,39
48,29838,26,39
49,29840,26,39
50,29839,26,39
51,29843,26,39
52,29844,26,39
53,29842,26,39
54,29846,26,39
55,29847,26,39
56,29849,26,39
57,29850,26,39
58,29851,26,39
59,29848,26,39
60,29852,26,39
61,29854,26,39
62,29855,26,39
63,29859,26,39
64,29860,26,39
65,29861,26,39
66,29863,26,39
67,29864,26,39
68,29865,26,39
69,29867,26,39
70,29869,26,39
71,29870,26,39
73,29871,26,39
74,29872,26,39
75,29875,26,39
76,29878,26,39
77,29876,26,39
78,29879,26,39
79,29880,26,39
80,29520,26,39
81,29882,26,39
82,29881,26,39
83,29883,26,39
84,29884,26,39
85,29886,26,39
86,29885,26,39
87,29887,26,39
88,29888,26,39
89,29889,26,39
90,29892,26,39
91,29893,26,39
92,29894,26,39
93,29891,26,39
94,29658,24,19
95,471550,12,19
96,471532,12,19
97,34735,24,19
98,22421,12,19
99,57150,12,19
100,21351,12,19
101,797657,12,19
102,471549,12,19
103,471532,12,19
104,471531,12,19
105,471513,12,19
106,471509,12,19
107,471524,12,19
108,471531,12,19
109,471535,12,19
110,471510,12,19
111,471514,17,19
112,483869,17,19
113,471515,17,19
114,976791,17,19
115,976791,17,19
116,471515,17,19
117,24404,21,19
118,20951,31,19
119,20819,31,19
120,20287,31,19
121,37598,31,19
122,37599,31,19
123,37598,31,19
124,20951,31,19
125,20819,31,19
126,20287,31,19
127,471548,5,19
128,471548,5,19
129,471547,5,19
130,471547,5,19
131,471548,5,19
132,38753,13,7
133,471521,34,19
134,471521,34,19
135,471497,34,19
136,471537,34,19
137,471497,34,19
138,471537,34,19
139,471521,34,19
140,471538,34,19
141,471538,34,19
142,471538,34,19
143,471526,34,19
144,471526,34,19
145,471521,34,19
146,471497,34,19
147,471520,34,19
148,471520,34,19
149,471526,34,19
150,471521,34,19
151,471526,34,19
152,471511,34,19
153,471511,34,19
154,471537,34,19
155,471511,34,19
156,471497,34,19
157,471520,34,19
158,471520,34,19
159,39085,2,7
160,39195,28,45
161,471518,35,19
162,471518,35,19
163,39571,26,39
164,39820,28,45
165,471543,23,19
166,47744,37,63
167,47804,37,63
168,49420,37,63
169,37072,28,45
170,20112,38,19
171,653157,39,19
172,483896,39,19
173,473042,34,19
174,473040,34,19
175,473039,34,19
176,473041,34,19
177,41308,29,46
178,41412,2,7
179,41407,28,45
180,653157,39,19
181,653157,39,19
182,653157,39,19
183,483896,39,19
184,483896,39,19
185,483896,39,19
186,483896,39,19
187,653157,39,19
188,653157,39,19
189,43086,28,45
190,25217,46,76
191,25216,46,76
192,25216,46,76
193,25216,46,76
194,25216,46,76
195,25217,46,76
196,25217,46,76
197,25217,46,76
198,25217,46,76
199,43577,44,76
200,46795,43,76
201,46795,43,76
202,46795,43,76
203,46795,43,76
204,46795,43,76
205,46795,43,76
206,46795,43,76
207,46795,43,76
208,46795,43,76
209,383510,7,19
210,53273,46,76
211,53742,46,76
212,55100,46,76
213,55238,45,76
214,55238,45,76
215,55238,45,76
216,55604,48,39
217,55604,48,39
218,55605,48,39
219,55605,48,39
220,55605,48,39
221,55238,45,76
222,55238,45,76
223,55238,45,76
224,55238,45,76
225,53273,46,76
226,53273,46,76
227,53273,46,76
228,53273,46,76
229,53273,46,76
230,53273,46,76
231,53273,46,76
232,53273,46,76
233,53273,46,76
234,55980,45,76
235,687620,35,19
236,687620,35,19
237,201581,35,19
238,473038,34,19
239,473038,34,19
240,473038,34,19
241,473038,34,19
242,483988,39,19
243,483988,39,19
244,483988,39,19
245,483988,39,19
246,55213,42,76
247,56194,43,76
248,56194,43,76
249,56195,43,76
250,56195,43,76
251,56195,43,76
252,56195,43,76
253,55100,46,76
254,55100,46,76
255,55100,46,76
256,55100,46,76
257,55100,46,76
258,55100,46,76
259,55100,46,76
260,55100,46,76
261,55100,46,76
262,55100,46,76
263,55238,45,76
264,55238,45,76
265,55238,45,76
